"Express course - Develop Web Apps/SaaS with PHP and ATK, http://programming.discudemy.com/php/web-apps-with-php-and-atk",test
"Beginner's Guide to Containers and Orchestration, http://programming.discudemy.com/development-tools/linux-academy-beginners-guide-to-containers-and-orchestration",
"Django GCBV - Fully understanding of TemplateView., http://programming.discudemy.com/django/django-gcbv-fully-understanding-of-templateview",
"jQuery Fundamentals Powerful Bootcamp for beginners, http://programming.discudemy.com/javascript/jquery-fundamentals-bootcamp-learn-how-to-use-jquery",
"Learn Modern C++ Fundamentals!, http://programming.discudemy.com/cpp/learn-c-the-modern-way-the-fundamentals",
"Angular: ASP.Net Core Overview, http://programming.discudemy.com/nodejs/angular-letting-nodejs-do-the-heavy-lifting",
"web developer  from zero to framework  (???? ????? ?? ?????), http://programming.discudemy.com/php/web-developer-from-zero-to-framework-arabic",
"Start Coding from Zero, http://programming.discudemy.com/programming-other/start-coding-from-zero",
"Bootstrap 4 Website Built from scratch in 1 hour, http://programming.discudemy.com/bootstrap/bootstrap-website-design",
"SEO For Local Service Businesses, http://programming.discudemy.com/seo/seo-for-local-service-based-businesses",
"Java for Beginners - Step by Step, http://programming.discudemy.com/java/java-for-beginners-step-by-step",
"How To Make an eCommerce Website With Wordpress 2017, http://programming.discudemy.com/wordpress/how-to-make-an-ecommerce-website-with-wordpress-2017",
"Bootstrap Website Design From Scratch, http://programming.discudemy.com/bootstrap/bootstrap-website-design-from-scratch",
"Spring?????????, http://programming.discudemy.com/java/spring-ej",
"Develop Mobile Data Collection Solutions using Kobo Toolbox, http://programming.discudemy.com/development-tools/develop-mobile-data-collection-solutions-using-kobo-toolbox",
"Complete Wordpress Course | Elementor, http://programming.discudemy.com/wordpress/complete-wordpress-tutorial-elementor",
"Make WordPress Hosting Easy with Plesk on Google Cloud, http://programming.discudemy.com/wordpress/make-wordpress-hosting-easy-with-plesk-on-google-cloud",
"Learn To Design My Award Winning Sites In SketchApp, http://programming.discudemy.com/web-development-other/learn-to-design-my-award-winning-sites-in-sketch",
"Pass the Laravel Certification - Part 1, http://programming.discudemy.com/php/pass-the-laravel-certification-part-1",
"The Complete Angular Course: Zero to Hero, http://programming.discudemy.com/angular/the-ultimate-angular-course",
"Getting Started as a Web Developer, http://programming.discudemy.com/html/refactoru-getting-started-as-a-web-developer",
"Gerência de Configuração de Software com Subversion Parte 1, http://programming.discudemy.com/programming-other/gerencia-de-configuracao-de-software-com-subversion-1",
"Create a Professional eCommerce Website like Amazon - Divi, http://programming.discudemy.com/e-commerce/create-a-professional-ecommerce-website-like-amazon-divi",
"MongoDB and Python: Quick start, http://programming.discudemy.com/python/mongodb-and-python-quickstart-with-mongoengine",
"Vehicle Modeling in Houdini 16.5 - SciFi Dropship, http://programming.discudemy.com/programming-other/vehicle-modeling-in-houdini-16-scifi-dropship",
"Start A Blog from Scratch (Self-Hosted Blog Tutorial), http://programming.discudemy.com/wordpress/start-a-blog-from-scratch",
"Programación de juegos Web 2D en JavaScript HTML5 con Phaser, http://programming.discudemy.com/game-development/programacion-de-juegos-web-2d-en-javascript-html5-con-phaser",
"Create a HTML5 Game from Scratch, http://programming.discudemy.com/html/create-a-html5-game-from-scratch",
"Tutorial de Ccrypt Básico (criptografia de dados), http://programming.discudemy.com/development-tools/criptografando-com-windows",
"SDLC models:basics for beginners, http://programming.discudemy.com/development-tools/sdlc-models",
"C# .NET For Beginners, http://programming.discudemy.com/csharp/c-net-for-beginners",
"JavaScript Basics: Start Coding in 5 Minutes [2019], http://programming.discudemy.com/javascript/javascript-basics-start-coding-in-5-minutes-2019",
"How To Make A WordPress Website With Elementor, http://programming.discudemy.com/wordpress/how-to-make-a-wordpress-website-with-elementor-u",
"SEO Training 2018: Undertand Basic SEO & Rank 1st In Google, http://programming.discudemy.com/seo/seo-training-rank-1st-in-google",
"Javascript Essentials, http://programming.discudemy.com/javascript/javascript-essentials",
"Buildbox 3 Features and Tools, http://programming.discudemy.com/game-development/buildbox-3-features-and-tools",
"Introducción a SQL con Oracle 11g, http://programming.discudemy.com/sql/introduccion-a-sql-con-oracle-11g",
"Complete Java Course: Zero to Hero, http://programming.discudemy.com/java/complete-java-course-zero-to-hero-p",
"Introducción a la programación con Scratch, http://programming.discudemy.com/game-development/introduccion-a-la-programacion-con-scratch",
"Python for Beginners:  Quick Ramp-up with no nonsense, http://programming.discudemy.com/python/comprehensive-python-course",
"New FileMaker 18 Features, http://programming.discudemy.com/programming-other/new-filemaker-18-features",
"??????????, http://programming.discudemy.com/development-tools/google-jp-workstyle",
"python tutorial for beginners, http://programming.discudemy.com/python/python-tutorial-for-beginners-s",
"Google Search Console: Curso Online de Google Search Console, http://programming.discudemy.com/seo/curso-google-search-console",
"Python??|?????|???????|???API????|AWS cloud9????, http://programming.discudemy.com/python/python-ccb",
"Install WordPress on Computer using XAMPP, http://programming.discudemy.com/wordpress/wordpress-xampp",
"Python for Beginner : Boot up Skill by Solve  29 Problems, http://programming.discudemy.com/python/python-for-beginner",
"Laravel for Beginners: Make Blog in Laravel 5.2, http://programming.discudemy.com/php/laravel-for-beginners-make-blog-in-laravel-5-2",
"WordPress for Beginners - Understand WordPress Quickly, http://programming.discudemy.com/wordpress/understand-wordpress-quickly",
"Programming for Entrepreneurs - HTML & CSS, http://programming.discudemy.com/html/programming-for-entrepreneurs",
"Introduzione a Python, http://programming.discudemy.com/python/introduzione-a-python",
"HTML For Absolute Beginners, http://programming.discudemy.com/html/beginners-html",
"Java ile Programlamaya Giri? 1, http://programming.discudemy.com/java/java-ile-programlamaya-giris-1",
"Automatización Profesional con Arduino | Módulo 1, http://programming.discudemy.com/robotics/automatizacion-profesional-con-arduino-modulo-1",
"Stwórz Responsywny Projekt w HTML i CSS w 2 Godziny, http://programming.discudemy.com/html/projekt-html-css",
"Creating your First Android Application from Scratch, http://programming.discudemy.com/android/creating-your-first-android-application-from-scratch",
"Ruby Programming Quick Look, http://programming.discudemy.com/ruby/ruby-programming-for-beginners-quick-look",
"Try Django 2.2 - Web Development with Python 3.6+, http://programming.discudemy.com/django/try-django-2-2-python-web-development",
"Learn Python From Scratch, http://programming.discudemy.com/python/learn-python-from-scratch-j",
"Curso Asp.Net MVC + Entity Framework para principiantes, http://programming.discudemy.com/csharp/curso-aspnet-mvc-entity-framework-para-principiantes",
"Google Chrome Extension Development, http://programming.discudemy.com/development-tools/google-chrome-extension-development",
"Make video game in unity3D, http://programming.discudemy.com/game-development/make-video-game-in-unity3d",
